, Media,Compound,Date,Negative,Neutral,Positive,Tweets_Ago
358,FoxNews,0.0,Mon Jan 08 07:03:15 +0000 2018,0.0,1.0,0.0,59
359,FoxNews,-0.6036,Mon Jan 08 07:03:14 +0000 2018,0.215,0.785,0.0,60
360,FoxNews,0.4215,Mon Jan 08 07:03:13 +0000 2018,0.0,0.887,0.113,61
361,FoxNews,0.0,Mon Jan 08 07:03:13 +0000 2018,0.218,0.565,0.218,62
362,FoxNews,0.7579,Mon Jan 08 07:03:13 +0000 2018,0.0,0.717,0.283,63
363,FoxNews,0.765,Mon Jan 08 07:03:11 +0000 2018,0.0,0.732,0.268,64
364,FoxNews,0.0,Mon Jan 08 07:03:11 +0000 2018,0.0,1.0,0.0,65
365,FoxNews,0.0,Mon Jan 08 07:03:10 +0000 2018,0.0,1.0,0.0,66
366,FoxNews,-0.4019,Mon Jan 08 07:03:09 +0000 2018,0.197,0.803,0.0,67
367,FoxNews,0.0516,Mon Jan 08 07:03:09 +0000 2018,0.089,0.816,0.096,68
368,FoxNews,0.0258,Mon Jan 08 07:03:08 +0000 2018,0.078,0.838,0.084,69
369,FoxNews,0.128,Mon Jan 08 07:03:08 +0000 2018,0.0,0.914,0.086,70
370,FoxNews,0.0,Mon Jan 08 07:03:07 +0000 2018,0.0,1.0,0.0,71
371,FoxNews,0.3818,Mon Jan 08 07:03:04 +0000 2018,0.085,0.735,0.18,72
372,FoxNews,-0.2481,Mon Jan 08 07:03:03 +0000 2018,0.087,0.913,0.0,73
373,FoxNews,-0.4939,Mon Jan 08 07:03:01 +0000 2018,0.16,0.763,0.076,74
374,FoxNews,0.3612,Mon Jan 08 07:02:59 +0000 2018,0.0,0.737,0.263,75
375,FoxNews,0.6808,Mon Jan 08 07:02:58 +0000 2018,0.0,0.741,0.259,76
376,FoxNews,-0.7579,Mon Jan 08 07:02:58 +0000 2018,0.265,0.735,0.0,77
377,FoxNews,0.6731,Mon Jan 08 07:02:57 +0000 2018,0.102,0.566,0.332,78
378,FoxNews,0.6249,Mon Jan 08 07:02:57 +0000 2018,0.0,0.746,0.254,79
379,FoxNews,0.0258,Mon Jan 08 07:02:55 +0000 2018,0.078,0.838,0.084,80
380,FoxNews,0.0,Mon Jan 08 07:02:55 +0000 2018,0.0,1.0,0.0,81
381,FoxNews,0.0,Mon Jan 08 07:02:53 +0000 2018,0.0,1.0,0.0,82
382,FoxNews,-0.7269,Mon Jan 08 07:02:52 +0000 2018,0.337,0.663,0.0,83
383,FoxNews,0.0,Mon Jan 08 07:02:52 +0000 2018,0.0,1.0,0.0,84
384,FoxNews,0.4404,Mon Jan 08 07:02:52 +0000 2018,0.0,0.508,0.492,85
385,FoxNews,0.0,Mon Jan 08 07:02:52 +0000 2018,0.0,1.0,0.0,86
386,FoxNews,-0.4767,Mon Jan 08 07:02:49 +0000 2018,0.147,0.853,0.0,87
387,FoxNews,0.7783,Mon Jan 08 07:02:42 +0000 2018,0.0,0.536,0.464,88
388,FoxNews,0.0,Mon Jan 08 07:02:41 +0000 2018,0.0,1.0,0.0,89
389,FoxNews,0.0,Mon Jan 08 07:02:41 +0000 2018,0.0,1.0,0.0,90
390,FoxNews,0.0,Mon Jan 08 07:02:40 +0000 2018,0.0,1.0,0.0,91
391,FoxNews,-0.7845,Mon Jan 08 07:02:40 +0000 2018,0.33,0.67,0.0,92
392,FoxNews,0.0,Mon Jan 08 07:02:39 +0000 2018,0.0,1.0,0.0,93
393,FoxNews,0.0,Mon Jan 08 07:02:39 +0000 2018,0.0,1.0,0.0,94
394,FoxNews,0.0,Mon Jan 08 07:02:38 +0000 2018,0.0,1.0,0.0,95
395,FoxNews,0.0,Mon Jan 08 07:02:37 +0000 2018,0.0,1.0,0.0,96
396,FoxNews,0.0516,Mon Jan 08 07:02:36 +0000 2018,0.062,0.865,0.072,97
397,FoxNews,0.0,Mon Jan 08 07:02:36 +0000 2018,0.0,1.0,0.0,98
398,FoxNews,-0.802,Mon Jan 08 07:02:32 +0000 2018,0.339,0.661,0.0,99
399,FoxNews,0.0,Mon Jan 08 07:02:31 +0000 2018,0.0,1.0,0.0,100
400,nytimes,0.4215,Mon Jan 08 07:04:33 +0000 2018,0.0,0.877,0.123,1
401,nytimes,-0.0516,Mon Jan 08 07:04:33 +0000 2018,0.075,0.858,0.067,2
402,nytimes,0.25,Mon Jan 08 07:04:32 +0000 2018,0.0,0.857,0.143,3
403,nytimes,-0.1027,Mon Jan 08 07:04:30 +0000 2018,0.096,0.826,0.078,4
404,nytimes,0.0,Mon Jan 08 07:04:30 +0000 2018,0.0,1.0,0.0,5
405,nytimes,0.0,Mon Jan 08 07:04:29 +0000 2018,0.0,1.0,0.0,6
406,nytimes,-0.3612,Mon Jan 08 07:04:28 +0000 2018,0.197,0.673,0.13,7
407,nytimes,0.0,Mon Jan 08 07:04:27 +0000 2018,0.0,1.0,0.0,8
408,nytimes,0.0,Mon Jan 08 07:04:27 +0000 2018,0.0,1.0,0.0,9
409,nytimes,0.0,Mon Jan 08 07:04:26 +0000 2018,0.0,1.0,0.0,10
410,nytimes,0.3818,Mon Jan 08 07:04:25 +0000 2018,0.0,0.885,0.115,11
411,nytimes,0.0,Mon Jan 08 07:04:24 +0000 2018,0.0,1.0,0.0,12
412,nytimes,-0.4939,Mon Jan 08 07:04:24 +0000 2018,0.132,0.868,0.0,13
413,nytimes,0.658,Mon Jan 08 07:04:24 +0000 2018,0.0,0.77,0.23,14
414,nytimes,0.4588,Mon Jan 08 07:04:22 +0000 2018,0.0,0.842,0.158,15
